1girl,單個女孩
big_hair,大頭髮
cookie,餅乾
undershirt,背心
brothers,兄弟
frilled_hairband,褶邊發帶
grey_sweater,灰色毛衣
red_theme,紅色主題
seductive_smile,誘人的微笑
orange_skirt,橙色裙子
pov_crotch,視角襠部
see-through_sleeves,透明袖子
hooded_cloak,帶帽斗篷
bonnet,軟帽
hair_over_breasts,頭髮遮住胸部
green_shorts,綠色短褲
huge_weapon,巨大武器
dripping,滴落
blue_choker,藍色頸飾
blank_eyes,空白眼
skirt_pull,拉裙子
brown_cardigan,棕色開衫
gym_shirt,健身衫
earphones,耳機
bra_lift,胸罩被提起
blue_coat,藍色外套
facing_another,面對另一個
bead_bracelet,珠串手鏈
fundoshi,兜襠布
hair_spread_out,頭髮鋪開
lion_ears,獅子耳朵
sitting_on_lap,坐在腿上
iron_cross,鐵十字勳章
cutoffs,剪裁短褲
white_ascot,白領結
genderswap_(ftm),性別轉換(ftm)
splashing,飛濺
sparkling_eyes,閃爍眼睛
tiger_tail,老虎尾巴
smoking_pipe,煙斗
foreskin,包皮
cow_girl,牛女孩
erune,艾爾魯
bikini_pull,比基尼拉
hachimaki,八卷繃帶
white_bodysuit,白色緊身衣
voice_actor_connection,聲優關係
plaid_vest,格子背心
huge_ahoge,巨大呆毛
pink_gloves,粉紅色手套
chalkboard,黑板
implied_sex,暗示性行為
playing_card,撲克牌
shoulder_pads,肩墊
argyle_clothes,菱形圖案的衣服
tassel_earrings,流蘇耳環
drink_can,飲料罐
bikini_armor,比基尼盔甲
black_sports_bra,黑色運動文胸
submachine_gun,衝鋒槍
artist_self-insert,藝術家自插
tank,坦克
yellow_bowtie,黃色領結
pink_thighhighs,粉色過膝襪
ribs,肋骨
star_hat_ornament,星星帽子飾品
ripples,漣漪
braided_bun,編織髻
dappled_sunlight,斑駁陽光
latex,乳膠
holding_chopsticks,拿筷子
purple_bowtie,紫色領結
hammer,錘子
torn_shirt,撕裂的襯衫
animal_collar,動物項圈
shell,貝殼
assertive_female,自主女性
grey_headwear,灰色頭飾
ranguage,錯誤語言
sweater_dress,毛衣裙
sakazuki,杯子
futon,蒲團
yin_yang,陰陽
bobby_socks,短襪
purple_theme,紫色主題
syringe,注射器
grey_gloves,灰色手套
game_controller,遊戲控制器
breast_rest,胸部支撐
blue_sweater,藍色毛衣
sandwiched,被夾在中間
oversized_object,過大物體
0_0,0_0
soaking_feet,泡腳
diamond_(shape),菱形
birthday,生日
fringe_trim,流蘇裝飾
huge_penis,巨大陰莖
official_style,正式風格
wardrobe_malfunction,衣服故障
sheet_grab,抓床單
green_footwear,綠色鞋類
planet,行星
striped_pantyhose,條紋連褲襪
animalization,動物化
mini_top_hat,小禮帽
arm_garter,上臂襪帶
zzz,呼嚕
aqua_necktie,藍綠色領帶
checkered_background,格子背景
frilled_panties,鑲邊內褲
;o,;o
rice,大米
off-shoulder_sweater,露肩毛衣
arm_ribbon,手臂絲帶
leaning_to_the_side,身體傾斜
watermelon,西瓜
fur-trimmed_capelet,皮毛裝飾肩披
rainbow,彩虹
old_man,老年人
aqua_background,水藍色背景
broom_riding,騎掃帚
untied_bikini,解開的比基尼
fake_screenshot,偽截圖
bridge,橋樑
bathtub,浴缸
police,員警
holding_spoon,拿著勺子
holding_bow_(weapon),持弓
braided_bangs,辮子劉海
lamppost,路燈
red_collar,紅色項圈
content_rating,內容分級
ear_blush,耳朵臉紅
power_lines,輸電線
torso_grab,抓住軀幹
object_on_head,頭上有物
nervous_sweating,緊張出汗
beer,啤酒
multicolored_dress,多色連衣裙
sniper_rifle,狙擊步槍
bear_ears,熊耳
reverse_cowgirl_position,反向女牛仔體位
film_grain,膠片顆粒
single_shoe,單鞋
bikini_bottom_only,僅穿比基尼下裝
speed_lines,速度線
dirty,髒
cherry,櫻桃
shark_tail,鯊魚尾巴
1990s_(style),1990年代（風格）
red_halo,紅色光環
tying_hair,紮頭髮
yellow_footwear,黃色的鞋
red_eyeshadow,紅眼影
scroll,卷軸
miqo'te,米訶特
cushion,墊子
sheep_horns,羊角
green_kimono,綠色和服
vertical-striped_thighhighs,豎條紋長筒襪
red_sweater,紅色毛衣
insect_wings,昆蟲翅膀
heart_brooch,心形胸針
puff_of_air,一團氣
rimless_eyewear,無框眼鏡
burger,漢堡
bow_hairband,蝴蝶結發帶
male_swimwear,男性泳衣
scissors,剪刀
frilled_bra,荷葉邊胸罩
saucer,茶碟
blue_gemstone,藍色寶石
chest_tattoo,胸部紋身
egg,雞蛋
holding_fork,持叉子
moaning,呻吟
green_panties,綠色內褲
horse,馬
heads_together,頭靠在一起
grey_thighhighs,灰色絲襪
aiming,瞄準
sanpaku,三白眼
torogao,滴滴臉
merry_christmas,聖誕快樂
jaggy_lines,鋸齒線條
feeding,餵食
biceps,二頭肌
shouting,喊叫
sleepy,困倦
zouri,草履
collared_jacket,帶領夾克
yukkuri_shiteitte_ne,ゆっくりしていってね
coffee,咖啡
skin-covered_horns,皮膚覆蓋的角
race_queen,賽車女郎
fur-trimmed_dress,毛皮鑲邊連衣裙
motorcycle,摩托車
cooking,做飯
yellow_halo,黃色光環
female_ejaculation,女性射液
fucked_silly,瘋狂做愛
traditional_bowtie,傳統領結
tail_wagging,搖尾巴
anchor_hair_ornament,錨形發飾
navel_hair,肚臍毛
yellow_hairband,黃色發帶
bare_tree,光禿樹
nekomata,貓又
giantess,巨型女
no_eyes,沒有眼睛
ear_bow,耳朵蝴蝶結
cyborg,電子人
unworn_panties,未穿著的內褲
fur-trimmed_cape,毛邊披風
long_coat,長外套
ball_gag,球形口塞
hair_pulled_back,頭髮向後拉
v-neck,V領
trait_connection,特徵聯繫
chest_jewel,胸前寶石
unworn_skirt,未穿裙子
extra_arms,多餘的手臂
topknot,髮髻
blue_hoodie,藍色連帽衫
tape,膠帶
bruise,淤傷
female_orgasm,女性高潮
gigantic_breasts,巨乳
shelf,架子
sailor_senshi_uniform,水手戰士制服
stomach_bulge,腹部凸起
extra_eyes,額外的眼睛
cum_string,精液絲
between_fingers,指間
d:,d:
clipboard,寫字板
reclining,斜倚
sleeveless_jacket,無袖夾克
engrish_text,英式中式
electric_guitar,電吉他
green_pants,綠色褲子
green_theme,綠色主題
white_neckerchief,白色領巾
standing_split,站立劈叉
bestiality,獸交
jiangshi,僵屍
superhero,超級英雄
single_sock,單個襪子
brown_vest,棕色背心
print_panties,印花內褲
skeleton,骨架
yawning,打哈欠
waist_cape,腰披風
shirt_pull,拉扯衣領
shared_bathing,共浴
lily_(flower),百合花
long_braid,長辮子
green_gloves,綠色手套
holding_card,持卡
holding_can,拿著罐子
hooded_coat,連帽外套
clothed_male_nude_female,穿衣男性裸露女性
jester_cap,小丑帽
open_vest,打開背心
planted,插入地面
yellow_sclera,黃眼白
plaid_shirt,格子襯衫
tentacle_sex,觸手性愛
weapon_on_back,背上有武器
detached_wings,分離翅膀
holding_cigarette,拿著香煙
cardboard_box,紙板箱
sake,清酒
solid_oval_eyes,實心橢圓眼睛
infection_monitor_(arknights),感染監視器_（明日方舟）
:|,:|
monocle,單片眼鏡
picture_frame,相框
book_stack,書堆
black_blindfold,黑色眼罩
pink_sweater,粉色毛衣
track_suit,運動服
fox_shadow_puppet,狐狸手影
pink_choker,粉色項圈
pillow_hug,抱枕頭
cube_hair_ornament,立方體發飾
heart_ahoge,愛心呆毛
frilled_collar,褶皺衣領
floating_object,漂浮物體
black_suit,黑色套裝
poolside,池邊
nightgown,睡袍
expressions,表情
punching,打拳
spoken_musical_note,聲音符號
flat_color,平塗顏色
the_pose,姿態
cross-shaped_pupils,十字形瞳孔
side-by-side,並排
frilled_choker,荷葉邊頸飾
striped_bowtie,條紋領結
beach_umbrella,沙灘傘
artistic_error,藝術錯誤
pillar,柱子
broken,壞的
white_necktie,白色領帶
jumpsuit,連體服
faulds,魚鱗甲
perspective,透視
police_uniform,員警制服
uwabaki,室內鞋
bride,新娘
blood_on_hands,手上有血
downblouse,領口風光
doll_joints,玩偶關節
yellow_nails,黃色指甲
holding_wand,拿著魔杖
kariginu,狩衣
pregnant,懷孕
sepia,棕褐色
cross_hair_ornament,十字架發飾
hands_on_own_cheeks,雙手放在自己臉上
mind_control,思想控制
wine,葡萄酒
weapon_over_shoulder,肩上的武器
pointy_hair,錐形髮型
very_dark_skin,非常黑的皮膚
competition_school_swimsuit,競技校游泳衣
over-kneehighs,過膝襪
3:,3:
twisted_torso,扭曲的軀幹
chess_piece,棋子
aqua_bow,青綠色的蝴蝶結
official_alternate_hair_length,官方替代頭髮長度
leotard_under_clothes,衣服下的緊身衣
lowleg_panties,低腰內褲
\m/,\\m/
front_ponytail,前馬尾
karakasa_obake,傘妖
take_your_pick,挑選
pink_hairband,粉紅發帶
sweater_lift,升起毛衣
crack,裂縫
taut_shirt,繃緊的襯衫
baseball_bat,棒球棒
tile_wall,瓷磚牆
orb,球體
pun,雙關語
bandaid_on_nose,鼻子上的創可貼
pinky_out,小指外伸
playing_games,玩遊戲
street,街道
internal_cumshot,內部射精
mouse,老鼠
footjob,足交
skull_hair_ornament,骷髏發飾
cum_on_ass,射在屁股上
hand_on_own_stomach,手放在自己肚子上
red_bodysuit,紅色緊身衣
heart_print,心形印花
heart_cutout,心形開口
lap_pillow,枕膝
pervert,色狼
uterus,子宮
shy,害羞
xd,XD
bokeh,虛化
plaid_scarf,格子圍巾
side_braids,側辮子
flower_field,花田
laptop,筆記型電腦
girl_sandwich,女孩夾心
holding_hat,持帽
glaring,怒視
open_hoodie,打開連帽衫
tail_bow,尾巴蝴蝶結
charm_(object),裝飾品（物品）
red_bra,紅色胸罩
purple_bra,紫色胸罩
chest_harness,胸部束帶
adjusting_headwear,調整頭飾
beamed_eighth_notes,四分音符連音符
short_necktie,短領帶
blood_splatter,血跡飛濺
cross_earrings,十字耳環
holding_candy,拿著糖果
coat_on_shoulders,披肩外套
halter_dress,露背連衣裙
lower_teeth_only,只畫下排牙齒
tokiwadai_school_uniform,常盤台中學制服
horn_ribbon,角緞帶
knees,膝蓋
multiple_rings,多個戒指
prosthesis,假肢
cow_tail,牛尾巴
floppy_ears,耷拉耳朵
river,河流
dog_tags,軍犬牌
gold,黃金
exhibitionism,暴露癖
mountainous_horizon,山脈地平線
two-tone_skin,兩色皮膚
shopping_bag,購物袋
body_blush,身體臉紅
plaid_bow,格子蝴蝶結
dougi,道服
purple_lips,紫色唇膏
chaldea_uniform,卡迦勒制服
kotatsu,被爐
fat_mons,大陰阜
hand_on_own_ass,手放在自己的屁股上
single_mechanical_arm,單機械臂
single_sidelock,單側鬢角
leg_warmers,腿套
explosive,爆炸物
loincloth,纏腰布
frilled_thighhighs,荷葉邊長筒襪
robot_joints,機器人關節
bra_pull,拉下胸罩
pinstripe_pattern,細條紋圖案
purple_necktie,紫色領帶
paper_lantern,紙燈籠
military_jacket,軍用夾克
meat,肉
forehead_protector,護額
holding_paper,拿著紙
castle,城堡
two-tone_shirt,雙色襯衫
solid_circle_eyes,實心圓眼
holding_ball,拿球
yellow_headwear,黃色頭飾
dango,團子
lanyard,掛繩
otonokizaka_school_uniform,音乃木阪學院校服
father_and_daughter,父親和女兒
whistle,哨子
company_connection,公司聯繫
leg_tattoo,腿部紋身
sleeves_past_elbows,袖子過肘
heart_pasties,心形乳貼
faceless_female,無面女性
two-tone_fur,兩色毛皮
chain-link_fence,連結圍欄
twilight,黃昏
bound_legs,綁腿
white_camisole,白色吊帶衫
thighhighs_under_boots,長筒襪在靴子裡
single_wing,單翼
vase,花瓶
covering_face,掩蓋面部
tomboy,假小子
penguin,企鵝
utility_pole,電線杆
belt_collar,皮帶項圈
brown_bow,棕色蝴蝶結
suggestive_fluid,暗示性的液體
medium_bangs,中等劉海
red_wings,紅色翅膀
thigh_holster,大腿槍套
dressing,穿衣
skyscraper,摩天大樓
shorts_pull,拉短褲
costume_switch,互換服裝
suitcase,手提箱
bubble_skirt,氣泡裙
food_focus,食物聚焦
striped_socks,條紋襪
monster_boy,怪物男孩
mismatched_pupils,不同瞳孔
feet_up,抬腳
noodles,麵條
blue_butterfly,藍色蝴蝶
oripathy_lesion_(arknights),源石病病變 (明日方舟)
waistcoat,背心
cowboy_hat,牛仔帽
;p,;p
whip,鞭子
print_dress,印花連衣裙
cum_on_tongue,舌頭上的精液
evening,傍晚
damaged,損壞
paper_fan,紙扇
train_interior,火車內飾
autumn,秋天
flower-shaped_pupils,花形瞳孔
asymmetrical_sleeves,不對稱袖子
see-through_shirt,透明襯衫
unworn_clothes,未穿衣服
polka_dot_panties,波點內褲
grapes,葡萄
lapels,翻領
projectile_cum,拋射精液
teardrop,淚滴
blue_bodysuit,藍色緊身衣
firing,射擊
time_paradox,時間悖論
knight,騎士
grabbing_another's_hair,抓別人的頭髮
family,家庭
torn_pants,撕裂的褲子
star_in_eye,眼中明星
brown_fur,棕色毛皮
holding_removed_eyewear,持有摘下的眼鏡
print_pantyhose,印花連褲襪
bird_tail,鳥尾
anal_beads,肛門珠
holding_pen,拿著筆
grey_pantyhose,灰色連褲襪
turn_pale,變蒼白
zombie,僵屍
gradient_eyes,漸變色眼睛
cow_print_bikini,牛紋比基尼
albino,白化病
thong_bikini,丁字褲比基尼
bra_visible_through_clothes,可見內衣
flag_print,旗幟圖案
unmoving_pattern,不動圖案
water_gun,水槍
white_bloomers,白色燈籠褲
full_armor,全套盔甲
breast_envy,乳房嫉妒
panty_peek,內褲外露
popped_collar,翹起衣領
chest_sarashi,胸纏綁帶
bursting_breasts,爆衣乳房
female_pervert,色女
onigiri,飯團
wet_panties,濕內褲
fox,狐狸
animal_ear_headphones,動物耳朵耳機
wolf,狼
swivel_chair,旋轉椅
waves,波浪
yellow_gloves,黃色手套
pearl_necklace,珍珠項鍊
large_bow,大蝴蝶結
armpit_peek,腋下偷看
heart-shaped_box,心形盒子
multicolored_nails,彩色指甲
old_school_swimsuit,舊款學校泳衣
no_socks,無襪子
convenient_leg,方便腿
stand_(jojo),曹曹替身 (JoJo)
green_bowtie,綠色領結
tail_ribbon,尾巴緞帶
snout,動物的嘴鼻部分
flower_knot,花結
fat_man,胖男人
shushing,噓聲
rose_petals,玫瑰花瓣
blue_sleeves,藍色袖子
yandere,病嬌
bird_ears,鳥耳朵
stirrup_legwear,馬鐙式襪子
maebari,貼紙
husband_and_wife,老公和老婆
2others,兩個其他
orange_jacket,橙色夾克
purple_leotard,紫色緊身衣
disembodied_penis,獨立的陰莖
pussy_peek,小貓偷看
pink_skin,粉色皮膚
squatting_cowgirl_position,蹲式女牛仔體位
streaming_tears,流淚的眼淚
cat_boy,貓男孩
notebook,筆記本
beer_mug,啤酒杯
shark_girl,鯊魚女孩
microphone_stand,話筒支架
partially_unzipped,半開拉鍊
aiguillette,綬帶
dolphin_shorts,海豚短褲
amputee,截肢者
energy,能量
mouse_girl,鼠女孩
arthropod_girl,節肢動物女孩
vertical-striped_shirt,豎條紋襯衫
multiple_4koma,多個四格漫畫
fur_hat,毛皮帽子
bicycle,自行車
obijime,帯締
mixed-sex_bathing,混性別洗浴
fur-trimmed_headwear,毛皮鑲邊頭飾
bra_strap,胸罩帶
strap_pull,拉吊帶
school_chair,學校椅子
ice_cream_cone,霜淇淋蛋筒
animal_on_shoulder,動物在肩膀上
orange_dress,橙色連衣裙
blue_buruma,藍色ブルマ
interface_headset,介面耳機
pink_necktie,粉色領帶
toeless_footwear,無腳趾鞋
crotchless,開襠
raised_eyebrow,揚起眉毛
boy_on_top,男孩在上
suit_jacket,西裝外套
bone,骨頭
striped_scarf,條紋圍巾
whiskers,鬍鬚
mismatched_gloves,不同顏色手套
chick,小鳥
cane,手杖
grey_vest,灰色馬甲
money,金錢
blue_socks,藍色襪子
black_skin,黑皮膚
poster_(object),海報_(物體)
peeking_out,偷窺
medium_skirt,中等長度裙子
argyle_legwear,菱形格襪子
frilled_hat,褶邊帽
ship,船
open_hands,張開雙手
tengu-geta,天狗木屐
striped_skirt,條紋裙
danmaku,彈幕
hand_on_another's_cheek,手放在另一隻臉上
orange_(fruit),柳丁(果)
showgirl_skirt,表演裙
striped_ribbon,條紋緞帶
recording,錄音
demon,惡魔
double_handjob,雙重手交
waist_bow,腰部蝴蝶結
quiver,箭袋
waking_up,起床
alien,外星人
blue_fire,藍色火焰
romaji_text,羅馬字
red_buruma,紅色布魯馬
falling_leaves,落葉
heart-shaped_chocolate,心形巧克力
nintendo_switch,任天堂Switch
closed_umbrella,收起的傘
button_gap,紐扣間隙
black_cloak,黑色斗篷
lightning,閃電
hydrangea,繡球花
taking_picture,拍照
fedora,費朵拉帽
cable_knit,麻花針織
hands_on_own_knees,雙手放在自己膝蓋上
breast_suppress,壓胸
holding_camera,拿著相機
revolver,左輪手槍
grabbing_own_ass,抓自己屁股
bandaid_on_knee,膝蓋上的創可貼
hatching_(texture),排線（紋理）
unsheathing,拔刀
slime_(substance),史萊姆（物質）
backboob,後胸部
on_desk,在桌子上
coffee_mug,咖啡杯
super_crown,超級皇冠
low_twin_braids,低雙辮
spring_onion,大蔥
single_leg_pantyhose,單腿絲襪
grey_cardigan,灰色開衫
ladle,勺子
elbow_pads,護肘
crotch,胯部
print_thighhighs,印花長筒襪
skinny,瘦的
photo_background,照片背景
winter_coat,冬季大衣
yellow_sweater,黃色毛衣
serval_print,獰貓紋
crazy_eyes,瘋狂眼神
orange_flower,橙色花
half-closed_eye,半閉眼
holding_strap,握住皮帶
see-through_cleavage,透視乳溝
wine_bottle,紅酒瓶
back_cutout,背部開口
two-tone_jacket,雙色夾克
single_elbow_glove,單肘手套
humanization,人類化
statue,雕像
netorare,寢取られ
dimples_of_venus,維納斯酒窩
sideways_mouth,側面嘴
thigh_grab,大腿抓拿
locker,儲物櫃
cat_hair_ornament,貓發飾
yellow_shorts,黃色短褲
reverse_trap,反向偽男
cake_slice,蛋糕片
kitchen,廚房
ambiguous_gender,性別模糊
blue_wings,藍色翅膀
naked_ribbon,裸帶
starfish,海星
colored_pencil_(medium),彩鉛（媒介）
orange_bikini,橙色比基尼
black_flower,黑色花
torn_dress,撕破的連衣裙
throne,寶座
lance,長矛
black_ascot,黑色領巾
print_skirt,印花裙
ringlets,卷髮
butterfly_wings,蝴蝶翅膀
hot,炎熱
multiple_hair_bows,多個發飾蝴蝶結
crow,烏鴉
reverse_grip,反握
holding_broom,拿著掃帚
demon_boy,惡魔男孩
red_gemstone,紅色寶石
spoken_blush,說話時臉紅
condom_in_mouth,嘴裡含著避孕套
crowd,人群
unworn_jacket,脫掉的夾克
track_pants,運動褲
male_masturbation,男性自慰
bikini_bottom_aside,比基尼底部移開
holding_shield,拿著盾牌
towel_around_neck,圍在脖子上的毛巾
sagging_breasts,下垂乳房
knees_to_chest,膝蓋貼胸
hand_on_another's_chin,手放在別人的下巴上
blood_on_weapon,武器上有血
dress_bow,連衣裙蝴蝶結
crab,螃蟹
arm_hair,手臂毛髮
gears,齒輪
pole,杆
muted_color,顏色變淡
pink_neckerchief,粉色領巾
red_scrunchie,紅色發圈
snowman,雪人
stick,棍子
grey_hoodie,灰色連帽衫
blood_from_mouth,嘴裡流血
dragon_wings,龍翼
yellow_fur,黃色皮毛
one-piece_swimsuit_pull,泳衣下拉
business_suit,商務西裝
tower,塔
forked_eyebrows,分叉眉
wedgie,提臀
baggy_pants,寬鬆褲
holding_bowl,手拿著碗
metal_collar,金屬項圈
unworn_mask,未佩戴面具
armchair,扶手椅
defeat,失敗
gourd,葫蘆
bandaged_hand,包紮的手
boat,船
armpit_hair,腋毛
white_vest,白色背心
trading_card,交易卡
hose,水管
long_tongue,長舌頭
machine_gun,機槍
pointing_at_self,指向自己
spread_anus,擴張肛門
frilled_hair_tubes,鑲褶邊的發管
evil_grin,惡意笑容
impossible_shirt,不可能的襯衫
unbuttoned_shirt,解開的襯衫
scar_on_chest,胸部傷疤
breast_lift,舉胸
road_sign,路標
lock,鎖
digimon_(creature),數碼寶貝（生物）
drop_shadow,投影
roswaal_mansion_maid_uniform,羅茲瓦爾宅邸女僕制服
holding_lollipop,拿著棒棒糖
yellow_theme,黃色主題
poking,戳
blue_capelet,藍色披肩
barcode,條碼
hairpods,髮夾
waterfall,瀑布
footwear_bow,蝴蝶結鞋
pocket_watch,懷錶
dark_elf,黑暗精靈
shiny_pokemon,閃光寶可夢
purple_hairband,紫色發帶
school,學校
baby,嬰兒
clone,克隆
body_markings,身體標記
letter,信
elbow_rest,枕肘
lightning_bolt_symbol,閃電符號
landscape,風景
multiple_wings,多對翅膀
imagining,想像
trident,三叉戟
album_cover,專輯封面
soap_bubbles,肥皂泡
wrist_ribbon,腕帶絲帶
garreg_mach_monastery_uniform,加爾古·瑪爾修道院制服
single_sleeve,單個袖子
hands_in_hair,手在頭髮裡
surgical_mask,手術口罩
toilet,廁所
pointing_up,朝上指
unconventional_maid,非傳統女僕
open_collar,打開的衣領
bustier,緊身胸衣
brown_bag,棕色包
weibo_username,微博用戶名
v_over_eye,V形手勢擋眼
red_pupils,紅色瞳孔
pirate_hat,海盜帽
towel_on_head,毛巾在頭上
red_rope,紅色繩子
pouring,倒液
anal_tail,肛塞尾巴
sleeveless_kimono,無袖和服
furry_with_non-furry,擬人角色與非擬人角色
leather_jacket,皮夾克
trench_coat,風衣
mouth_drool,口水下滴
paizuri_under_clothes,衣物內乳交
orange_bowtie,橙色蝴蝶結
pink_cardigan,粉紅色開衫
planted_sword,插在地上的劍
gradient_sky,漸變天空
>:(,>:(
looking_at_object,注視物體
orange_headwear,橙色頭飾
loose_necktie,松領帶
bow-shaped_hair,蝴蝶結形狀頭髮
hypnosis,催眠
bodypaint,身體塗漆
dress_pull,拉連衣裙
bullet,子彈
brown_scarf,棕色圍巾
against_glass,貼在玻璃上
death,死亡
imminent_rape,即將被強姦
lowleg_bikini,低腰比基尼
green_sailor_collar,綠色水手領
holding_towel,手持毛巾
pink_scarf,粉色圍巾
red_sailor_collar,紅色水手領
clover,苜蓿
toe_scrunch,趾抓
locked_arms,挽著手臂
heart_background,心形背景
fusion,融合
oppai_loli,巨乳蘿莉
fur-trimmed_boots,毛皮裝飾靴子
spread_ass,撐開臀部
holding_own_arm,握住自己的手臂
heart_in_eye,眼中愛心
multicolored_skirt,多色裙子
linea_alba,白線
gym_shorts,運動短褲
jar,罐子
command_spell,令咒
leg_hair,腿毛
no_nipples,無乳頭
mini_wings,迷你翅膀
bear,熊
multiple_horns,多個角
steepled_fingers,手指尖相觸
carrot_hair_ornament,胡蘿蔔頭飾
mandarin_orange,橘子
power_armor,動力裝甲
covered_collarbone,覆蓋的鎖骨
bubble_blowing,吹泡泡
midair,空中
looking_at_penis,看著陰莖
silk,絲
hairy,多體毛
sailor,水手
keyboard_(computer),鍵盤（電腦）
long_eyelashes,長睫毛
horror_(theme),恐怖主題
winged_arms,翅膀手臂
puddle,水坑
heart_necklace,心形項鍊
flaccid,鬆弛的
frilled_gloves,荷葉邊手套
yellow_panties,黃色內褲
milk,牛奶
blue_ascot,藍色領巾
leaning_on_person,倚靠在某人
argyle_background,菱格背景
stomach_tattoo,腹部紋身
flight_deck,飛行甲板
open_door,開著的門
2021,2021年
underboob_cutout,下胸開口
leaf_print,葉子圖案
arm_belt,手臂帶
unsheathed,拔出
purple_rose,紫玫瑰
backwards_hat,反戴帽子
arm_around_shoulder,承肩
v-fin,V形天線
shop,商店
cat_cutout,貓形鏤空
polka_dot_bikini,波點比基尼
:>=,:>=
library,圖書館
black_tail,黑色尾巴
2022,2022年
halftone_background,網版背景
hand_on_own_arm,手放在自己手臂上
no_pussy,無陰部
crescent_pin,新月形別針
red_headband,紅色頭帶
strapless_bikini,無肩帶比基尼
nervous_smile,緊張微笑
nude_cover,裸體覆物
red_sleeves,紅色袖子
earclip,耳夾
earpiece,耳塞
checkered_skirt,格子裙
painting_(object),繪畫（物體）
holding_box,拿著盒子
white_robe,白色長袍
reverse_outfit,逆向服裝
thorns,荊棘
tiger_girl,虎女孩
grey_coat,灰色大衣
mechanical_wings,機械翅膀
assisted_exposure,被協助暴露
mobile_suit,機動戰士
tissue_box,紙巾盒
mother_and_son,母子
cat_lingerie,貓主題內衣
purple_pantyhose,紫色連褲襪
white_horns,白色的角
pince-nez,夾鼻眼鏡
dark_nipples,黑色乳頭
office_chair,辦公椅
musical_note_hair_ornament,音符發飾
holding_mask,拿著面具
frilled_pillow,荷葉邊枕頭
pentagram,五芒星
torn_skirt,撕裂的裙子
imminent_vaginal,即將插入陰道
unaligned_breasts,未對齊的乳房
thong_leotard,丁字褲連體衣
two-tone_gloves,雙色手套
cum_pool,精液池
macaron,馬卡龍
black_fur,黑色毛髮
red_belt,紅色腰帶
heart_choker,心形頸圈
orange_ribbon,橙色緞帶
colorful,五彩繽紛
after_anal,肛交後
teacher,教師
black_bag,黑色包
tablet_pc,平板電腦
kissing_cheek,親吻臉頰
scar_on_arm,胳膊上的疤
penis_on_face,臉上的陰莖
see-through_silhouette,透視剪影
tsundere,傲嬌
heart-shaped_eyewear,心形眼鏡
flashing,暴露
lake,湖
policewoman,女警
2023,2023年
egg_vibrator,雞蛋震動器
flexible,柔韌性
ribbon-trimmed_legwear,帶緞帶裝飾的襪子
circle,圓形
defloration,破處
hooded_capelet,帶帽披肩
deep_penetration,深度插入
blue_belt,藍色腰帶
spider_web,蜘蛛網
small_horns,小角
viewfinder,取景器
bat_print,蝙蝠印花
hair_beads,發飾珠
stage,舞臺
tiger,老虎
demon_slayer_uniform,鬼殺隊制服
test_tube,試管
arm_rest,支撐手臂
soccer_uniform,足球服
striped_jacket,條紋夾克
game_console,遊戲主機
spider_lily,曼珠沙華
pink_shorts,粉紅色短褲
holding_scythe,持鐮刀
holding_pom_poms,握著啦啦隊花球
grey_sailor_collar,灰色水手領
lifting_person,抬起的人
purple_vest,紫色背心
arm_hug,挽臂
virgin_killer_sweater,童貞殺手毛衣
uneven_eyes,眼睛不對稱
improvised_gag,臨時口塞
cat_paws,貓爪
egasumi,繪霞
scope,瞄準鏡
fog,霧
reverse_bunnysuit,反轉兔女郎裝
white_feathers,白色羽毛
brand_name_imitation,品牌名仿製
fishing_rod,漁竿
leaning,傾斜
fisheye,魚眼
lower_body,下半身
octopus,章魚
lion_tail,獅子尾巴
remote_control,遙控器
dangle_earrings,垂墜耳環
food_print,食物圖案
ears_down,垂耳
bolt_action,旋轉後拉槍機
bike_shorts_under_skirt,裙下自行車短褲
envelope,信封
print_bow,印花蝴蝶結
yellow_scarf,黃色圍巾
rapier,釧劍
shide,注連繩紙垂
tight_pants,緊身褲
dog_boy,狗男孩
number_tattoo,數字紋身
kiseru,煙管
swimming,游泳
sleeves_pushed_up,袖子推上去
earth_(planet),地球（行星）
1980s_(style),1980年代（風格）
cat_hood,貓耳帽子
food_on_body,身上有食物
raccoon_girl,浣熊女孩
grabbing_another's_ass,抓別人屁股
partially_undressed,部分脫衣
bikini_top_lift,比基尼上衣掀起
print_gloves,印花手套
soul_gem,靈魂寶石
glowing_weapon,發光的武器
reverse_suspended_congress,反懸空位
shooting_star,流星
penis_awe,陰莖驚歎
blue_scrunchie,藍色發圈
leotard_aside,體操服分開
butt_plug,肛塞
violin,小提琴
shrine,神社
bikini_tan,比基尼曬痕
novelty_censor,創意遮擋
lion_girl,獅子女孩
dancer,舞者
ryouou_school_uniform,龍王高校校服
opaque_glasses,不透明眼鏡
holding_axe,拿斧子
red_sclera,紅色鞏膜
kunai,苦無
showering,洗澡
pubic_hair_peek,陰毛露出
no_legwear,無襪
shore,海岸
thank_you,感謝
kyuubi,九尾狐
spacecraft,太空船
folded_fan,摺扇
robot_ears,機器人耳朵
bandaids_on_nipples,乳頭上的創可貼
red_moon,紅月
anus_peek,肛門窺視
idol_clothes,偶像服裝
after_fellatio,口交後
orange_necktie,橙色領帶
cheek-to-cheek,面頰貼面頰
christmas_ornaments,聖誕裝飾物
chicken,雞
